(Do Not Modify) Country,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Owner,Record Created On,Status,Status Reason
c2d15033-f73c-e811-813c-480fcfea5041,x7toS4ppSsFxJNCxlg58mF95nSodUiHgCTRiesYSe3sF4RjHQSv/1qXKnp7zMn3vCBW3qMs+aZuj/nLmIkoc+g==,2018-04-10 19:41,Bermuda,2018-04-10 13:41,Jon Lam,,Active,Active
c4d15033-f73c-e811-813c-480fcfea5041,UWPR/LW/1ebgsQNwVdELZ3I00MHUO4Hg78Vn9adKWwwPFk5PWpTHNNA6l1G+NPz5HhnKfS0kArCJGgsTCmwaGQ==,2018-04-10 19:41,Bolivia,2018-04-10 13:41,Jon Lam,,Active,Active
c6d15033-f73c-e811-813c-480fcfea5041,Qm8n1Mx1LAXEPptQ+Ppigw33EeLeBW15svv3t5YkxOYZ3So7DxS3CeX7dlKMKDPAuAPqz5nwNyEkOJG3pG/+qA==,2018-04-10 19:41,Botswana,2018-04-10 13:41,Jon Lam,,Active,Active
c8d15033-f73c-e811-813c-480fcfea5041,FZTZBIRmeQs1jd65NAGCxBUsdE9XjlkM6ZxpGLs44NosgytE9yLACV5SC9y0Uy0RVk5Kkgbs/aI8prGBO9RRPw==,2018-04-10 19:41,Brazil,2018-04-10 13:41,Jon Lam,,Active,Active
cad15033-f73c-e811-813c-480fcfea5041,7OPAbkar2Jw1eBrBvUzt7BCmAfAF96bzdC41+Qrka1W0mlgwycinxW1nh/51n+1vsFUkaBDzq6Be3eAxztaIcg==,2018-04-10 19:41,Brunei Darussalam,2018-04-10 13:41,Jon Lam,,Active,Active
ccd15033-f73c-e811-813c-480fcfea5041,EPdY7vESwQy4L3/3WXRYsrWVnM0YQxTPfow960/g5nsCzOgAb1ZtFBSJlc3SIj4WlTyIwen9ljtfyoK3Utbe6Q==,2018-04-10 19:41,Bulgaria,2018-04-10 13:41,Jon Lam,,Active,Active
ced15033-f73c-e811-813c-480fcfea5041,R0ntTU16fXlSCk+pzGiec24aDaNXD3y45kRYVwAglHOVU+km4CRF/zgHqgA5UuwqG3uYJz5nJNuoEbEB8hYsng==,2018-04-10 19:41,Burkina Faso,2018-04-10 13:41,Jon Lam,,Active,Active
d0d15033-f73c-e811-813c-480fcfea5041,a5JBRk/dbWOcZh/0s2YU2KKR7pGR3WY0y353ScDLcWL6Gu0rUWGKmLIAwxmBFenc1gFqT0oNjilheF0KBwcdng==,2018-04-10 19:41,Cameroon,2018-04-10 13:41,Jon Lam,,Active,Active
c7f9ca23-d8a5-e611-80bb-00155d64ab22,YIMCbY8hH8mtcvXrMbJzzwyNZmmidcC1iCDSDpMnweE1+1ZqoIsak2Pj3z79SKQ5jjkIp7ZTd8Vvn5wQisxdZA==,2017-09-14 20:07,Canada,2017-09-14 14:07,Jon Lam,,Active,Active
d2d15033-f73c-e811-813c-480fcfea5041,KchzmGa4IFeGHVF1J0r3rxt/fPbY0f1ExHPeH7t+8ClFwKr3fhaHDoUcLDUqyZLG2xfNyXzO8zLayIvELG4ngg==,2018-04-10 19:41,Canada,2018-04-10 13:41,Jon Lam,,Active,Active
d4d15033-f73c-e811-813c-480fcfea5041,I476GczVCaeXvtKtulmb/Ium0OgpL/E1kEcqmpkDXqEvzJPCr6GqgfCv/wuudF9+U5B9hJaIkRv+usHSEhbRiQ==,2018-04-10 19:41,Canada,2018-04-10 13:41,Jon Lam,,Active,Active
d6d15033-f73c-e811-813c-480fcfea5041,2W++wZb81VFoXVSnQlXXZ+vSSItKORB7VyNq8hOXCvtDRySB6IN/pwR3HYkZqqcoUMetZyVSW/pgVqKddILdCw==,2018-04-10 19:41,Cayman Islands,2018-04-10 13:41,Jon Lam,,Active,Active
d8d15033-f73c-e811-813c-480fcfea5041,LZQpnroTZxCCq/NL14TAMbOTXX+5HiQKORvG1AVM+sqC1o8C5/3Qs+YqmlmIu9H1422+84Lbk3WyPwV5MGQvVw==,2018-04-10 19:41,Chile,2018-04-10 13:41,Jon Lam,,Active,Active
9bca19a8-e526-e811-8137-480fcfeab9c1,bf24+pkP2VtR4xF9HqTsxquAhTbaeCpY7vGIVxiaiQ1KbbobNKsi45fy3dOwTLYCKOU5Qo2hFadN/LNNodQRSg==,2018-03-13 17:40,Chile,2018-03-13 11:40,Luis Cevallos,,Active,Active
dad15033-f73c-e811-813c-480fcfea5041,sA+0zrVKzgLQ1xroRdQ8cHwLdamN7SAOXrWJt5Fifa/qaVKg+0tvfclleZbyPvl+0PxYHtzBSUrwjY0kHvBJ/g==,2018-04-10 19:41,China,2018-04-10 13:41,Jon Lam,,Active,Active
5d40dcf4-2217-e811-8137-480fcfe97e21,4k8Aq64W15g12nZqwOih7i4pm2yqwmP0HCSzQOPo6SJ3tRHQ96A6Q4dtt4300Y+JPDM1Sj2WpBusBxM4ikN3PA==,2018-02-21 16:19,Colombia,2018-02-21 9:19,Luis Cevallos,,Active,Active
dcd15033-f73c-e811-813c-480fcfea5041,GBmk2igFf9mrB7jwIWuHn24psbXTS8ask7CAFZGaAWzyCPsb/eGdhkL5qIDqDucwpcyFTBxGcU9Rl/mE/5hdrg==,2018-04-10 19:41,Colombia,2018-04-10 13:41,Jon Lam,,Active,Active
ded15033-f73c-e811-813c-480fcfea5041,lzEgDELxqRW5SirM9lUzmjl4//m4mImFVS9FlZEJ3jJfAuHRgWAayVG7GvF/kdEH0RazqUWltUUqFusa0rNY6w==,2018-04-10 19:41,Cook Islands,2018-04-10 13:41,Jon Lam,,Active,Active
e0d15033-f73c-e811-813c-480fcfea5041,I4qLwv99/ih5wNJADtOaGinpGoPWZn8slls/ewktu7DmTynwouvIDOklnEJquKFAwu/rqGwciTB3ke+/C7ZDCg==,2018-04-10 19:41,Costa Rica,2018-04-10 13:41,Jon Lam,,Active,Active
e2d15033-f73c-e811-813c-480fcfea5041,/89kwDotBNHisyHQ3hCzYJH5ZXg0r//b1blV76EHjq2OrU5Q5ds55Yj4gjukv0tqYxuNkV9nc5JWLVP6KG7zOA==,2018-04-10 19:41,Cote D'Ivoire,2018-04-10 13:41,Jon Lam,,Active,Active
e4d15033-f73c-e811-813c-480fcfea5041,eAt1U2ig3GJpk68+5s2dMDevOOqRWTW3lqMkd0OkymlsYBbb9pY6rqPRlbwn/b7Cl/fQNLC6/AXf9hpoXxFxiw==,2018-04-10 19:41,Croatia (local name: Hrvatska),2018-04-10 13:41,Jon Lam,,Active,Active
